id  ,Rank  ,Name                       ,Profession                                                                 ,Sector        ,Age  ,Influence ,Reach ,Twitter Followers ,Picture
44  ,44.0  ,Angelica Ross              ,"Actor, Writer, Producer"                                                  ,Entertainment ,31.0 ,171.1     ,12.19 ,55775.0           ,https://i.kinja-img.com/theroot100/2019/angelica.ross_retouch_tysjo6.jpg
45  ,45.0  ,Cardi B                    ,Rapper                                                                     ,Entertainment ,26.0 ,170.6     ,18.48 ,7357481.0         ,https://i.kinja-img.com/theroot100/2019/cardi.b_retouch_cylswc.jpg
46  ,46.0  ,Lauren Underwood           ,US Representative                                                          ,Politics      ,32.0 ,170.5     ,12.11 ,76802.0           ,https://i.kinja-img.com/theroot100/2019/Lauren.Underwood2_rr4cq4.jpg
47  ,47.0  ,Latoya Shauntay Snell      ,"Marathon Runner, Chef"                                                    ,Community     ,34.0 ,169.0     ,9.03  ,1686.0            ,https://i.kinja-img.com/theroot100/2019/Latoya.Shauntay.Snell.jpg
48  ,48.0  ,Mahershala Ali             ,Actor                                                                      ,Entertainment ,45.0 ,168.9     ,11.88 ,0.0               ,https://i.kinja-img.com/theroot100/2019/mahershala.ali.jpg
49  ,49.0  ,Melina Matsoukas           ,Director                                                                   ,Entertainment ,38.0 ,168.9     ,11.88 ,22262.0           ,https://i.kinja-img.com/theroot100/2019/melina.matsoukas2_izvzbg.jpg
50  ,50.0  ,Mashama Bailey             ,Executive Chef                                                             ,Business      ,45.0 ,168.7     ,9.49  ,0.0               ,https://i.kinja-img.com/theroot100/2019/Mashama.Bailey.jpg
51  ,51.0  ,Matthew Cherry             ,"Writer, Director"                                                         ,Entertainment ,37.0 ,167.7     ,11.71 ,142534.0          ,https://i.kinja-img.com/theroot100/2019/matthew.cherry.jpg
52  ,52.0  ,Kawhi Leonard              ,NBA Player                                                                 ,Sports        ,28.0 ,167.0     ,12.61 ,404181.0          ,https://i.kinja-img.com/theroot100/2019/kawhi.leonard2.jpg
53  ,53.0  ,Tanisha C Ford             ,"Writer, Cultural Critic, Historian"                                       ,Arts          ,40.0 ,166.4     ,8.76  ,11380.0           ,https://i.kinja-img.com/theroot100/2019/tanisha.ford.jpg
54  ,54.0  ,Arlan Hamilton             ,Founder of Backstage Capital                                               ,STEM          ,38.0 ,166.4     ,11.54 ,64017.0           ,https://i.kinja-img.com/theroot100/2019/arlan.hamilton.jpg
55  ,55.0  ,Jordan Peele               ,Entertainer                                                                ,Entertainment ,40.0 ,165.3     ,16.28 ,1603520.0         ,https://i.kinja-img.com/theroot100/2019/jordan.peele.jpg
56  ,56.0  ,Adam Serwer                ,Journalist                                                                 ,Media         ,40.0 ,162.3     ,10.97 ,0.0               ,https://i.kinja-img.com/theroot100/2019/adam_serwer.jpg
57  ,57.0  ,Rhiana Gunn-Wright         ,Policy Director at New Consensus                                           ,Politics      ,30.0 ,162.2     ,9.26  ,21819.0           ,https://i.kinja-img.com/theroot100/2019/Rhiana.Gunn-Wright.jpg
58  ,58.0  ,Kwame Onwuachi             ,Executive Chef                                                             ,Business      ,29.0 ,161.9     ,10.92 ,6365.0            ,https://i.kinja-img.com/theroot100/2019/kwame.onwuachi2_guuky4.jpg
59  ,59.0  ,Kiese Laymon               ,"Author, Professor"                                                        ,Arts          ,45.0 ,159.2     ,10.55 ,28642.0           ,https://i.kinja-img.com/theroot100/2019/kiese.laymon.jpg
60  ,60.0  ,Jeffreen Hayes             ,Executive Director at Threewalls                                           ,Arts          ,44.0 ,159.1     ,7.59  ,0.0               ,https://i.kinja-img.com/theroot100/2019/jeffreen.hayes.jpg
61  ,61.0  ,Amanda Williams            ,Artist                                                                     ,Arts          ,45.0 ,158.4     ,7.93  ,0.0               ,https://i.kinja-img.com/theroot100/2019/amanda.williams.jpg
62  ,62.0  ,Tiffany Cross              ,Co-founder of The Beat DC                                                  ,Media         ,41.0 ,158.4     ,11.07 ,63160.0           ,https://i.kinja-img.com/theroot100/2019/tiffany.cross.jpg
63  ,63.0  ,Kezia Williams             ,CEO at Black upStart                                                       ,Business      ,37.0 ,157.2     ,9.2   ,4625.0            ,https://i.kinja-img.com/theroot100/2019/kezia.williams.jpg
64  ,64.0  ,Latham Thomas              ,"Doula, Founder of Mama Glow"                                              ,Community     ,39.0 ,155.6     ,10.09 ,4360.0            ,https://i.kinja-img.com/theroot100/2019/latham.thomas.jpg
65  ,65.0  ,Manu Platt                 ,Professor                                                                  ,STEM          ,40.0 ,155.6     ,5.91  ,1066.0            ,https://i.kinja-img.com/theroot100/2019/manu.platt.jpg
66  ,66.0  ,John Edmonds               ,"Photographer, Artist"                                                     ,Arts          ,31.0 ,153.7     ,8.32  ,0.0               ,https://i.kinja-img.com/theroot100/2019/john.edmonds.jpg
67  ,67.0  ,Micah McDonald             ,Stylist                                                                    ,Entertainment ,33.0 ,153.5     ,7.45  ,0.0               ,https://i.kinja-img.com/theroot100/2019/micah.mcdonald_retouch_iwulia.jpg
