id   ,Date      ,State                    ,Total Confirmed Cases ,Total Deaths
92   ,Wed 9/1   ,Northern Mariana Islands ,241                   ,2
93   ,Wed 9/1   ,Ohio                     ,1228002               ,20866
94   ,Wed 9/1   ,Oklahoma                 ,554496                ,8001
95   ,Wed 9/1   ,Oregon                   ,279087                ,3233
96   ,Wed 9/1   ,Pennsylvania             ,1303699               ,28235
97   ,Wed 9/1   ,Puerto Rico              ,204597                ,2875
98   ,Wed 9/1   ,Rhode Island             ,162969                ,2772
99   ,Wed 9/1   ,South Carolina           ,740634                ,10684
100  ,Wed 9/1   ,South Dakota             ,132837                ,2069
101  ,Wed 9/1   ,Tennessee                ,1041816               ,13410
102  ,Wed 9/1   ,Texas                    ,3630865               ,57533
103  ,Wed 9/1   ,Utah                     ,466188                ,2640
104  ,Wed 9/1   ,Vermont                  ,28399                 ,277
105  ,Wed 9/1   ,Virgin Islands           ,5934                  ,56
106  ,Wed 9/1   ,Virginia                 ,769842                ,11861
107  ,Wed 9/1   ,Washington               ,568881                ,6671
108  ,Wed 9/1   ,West Virginia            ,191156                ,3106
109  ,Wed 9/1   ,Wisconsin                ,736432                ,8496
110  ,Wed 9/1   ,Wyoming                  ,76007                 ,858
111  ,Thu 9/2   ,Alabama                  ,709732                ,12330
112  ,Thu 9/2   ,Alaska                   ,89345                 ,431
113  ,Thu 9/2   ,Arizona                  ,1020133               ,18879
114  ,Thu 9/2   ,Arkansas                 ,458234                ,7003
115  ,Thu 9/2   ,California               ,4486276               ,66153
116  ,Thu 9/2   ,Colorado                 ,623560                ,7346
117  ,Thu 9/2   ,Connecticut              ,374470                ,8394
118  ,Thu 9/2   ,Delaware                 ,120727                ,1888
119  ,Thu 9/2   ,District of Columbia     ,55718                 ,1161
120  ,Thu 9/2   ,Florida                  ,3291225               ,45909
121  ,Thu 9/2   ,Georgia                  ,1390154               ,22263
122  ,Thu 9/2   ,Guam                     ,11878                 ,151
123  ,Thu 9/2   ,Hawaii                   ,62860                 ,603
124  ,Thu 9/2   ,Idaho                    ,224227                ,2380
125  ,Thu 9/2   ,Illinois                 ,1536988               ,26572
126  ,Thu 9/2   ,Indiana                  ,871823                ,14545
127  ,Thu 9/2   ,Iowa                     ,408390                ,6307
128  ,Thu 9/2   ,Kansas                   ,374426                ,5613
129  ,Thu 9/2   ,Kentucky                 ,589756                ,7884
130  ,Thu 9/2   ,Louisiana                ,694275                ,12656
131  ,Thu 9/2   ,Maine                    ,76913                 ,937
132  ,Thu 9/2   ,Maryland                 ,499871                ,10040
133  ,Thu 9/2   ,Massachusetts            ,763673                ,18272
134  ,Thu 9/2   ,Michigan                 ,1064115               ,21603
135  ,Thu 9/2   ,Minnesota                ,653381                ,7932
136  ,Thu 9/2   ,Mississippi              ,443511                ,8507
137  ,Thu 9/2   ,Missouri                 ,780710                ,11323
138  ,Thu 9/2   ,Montana                  ,128955                ,1807
139  ,Thu 9/2   ,Nebraska                 ,246218                ,2599
140  ,Thu 9/2   ,Nevada                   ,393188                ,6565
141  ,Thu 9/2   ,New Hampshire            ,108319                ,1421
142  ,Thu 9/2   ,New Jersey               ,1096791               ,26919
143  ,Thu 9/2   ,New Mexico               ,234475                ,4546
144  ,Thu 9/2   ,New York                 ,2285643               ,53925
145  ,Thu 9/2   ,North Carolina           ,1229920               ,14642
146  ,Thu 9/2   ,North Dakota             ,118523                ,1594
147  ,Thu 9/2   ,Northern Mariana Islands ,241                   ,2
148  ,Thu 9/2   ,Ohio                     ,1235089               ,20866
149  ,Thu 9/2   ,Oklahoma                 ,557770                ,8001
150  ,Thu 9/2   ,Oregon                   ,281513                ,3257
151  ,Thu 9/2   ,Pennsylvania             ,1308284               ,28325
152  ,Thu 9/2   ,Puerto Rico              ,205170                ,2884
153  ,Thu 9/2   ,Rhode Island             ,163388                ,2772
154  ,Thu 9/2   ,South Carolina           ,746157                ,10743
155  ,Thu 9/2   ,South Dakota             ,133372                ,2071
156  ,Thu 9/2   ,Tennessee                ,1044847               ,13446
157  ,Thu 9/2   ,Texas                    ,3650334               ,57869
158  ,Thu 9/2   ,Utah                     ,467876                ,2652
159  ,Thu 9/2   ,Vermont                  ,28542                 ,279
160  ,Thu 9/2   ,Virgin Islands           ,5961                  ,57
161  ,Thu 9/2   ,Virginia                 ,774097                ,11879
162  ,Thu 9/2   ,Washington               ,573736                ,6704
163  ,Thu 9/2   ,West Virginia            ,192788                ,3117
164  ,Thu 9/2   ,Wisconsin                ,739150                ,8509
165  ,Thu 9/2   ,Wyoming                  ,76602                 ,858
166  ,Fri 9/3   ,Alabama                  ,714860                ,12394
167  ,Fri 9/3   ,Alaska                   ,89927                 ,431
168  ,Fri 9/3   ,Arizona                  ,1023935               ,18959
169  ,Fri 9/3   ,Arkansas                 ,460363                ,7022
170  ,Fri 9/3   ,California               ,4498298               ,66297
171  ,Fri 9/3   ,Colorado                 ,625678                ,7370
172  ,Fri 9/3   ,Connecticut              ,375135                ,8394
173  ,Fri 9/3   ,Delaware                 ,121283                ,1888
174  ,Fri 9/3   ,District of Columbia     ,55918                 ,1162
175  ,Fri 9/3   ,Florida                  ,3308916               ,46324
176  ,Fri 9/3   ,Georgia                  ,1401865               ,22373
