id  ,City                                   ,State ,Low estimate ,Best Guess ,High estimate ,Source1
41  ,"Bar Harbor, ME"                       ,ME    ,50.0         ,53.0       ,55.0          ,Eyewitness on site
42  ,"Bandon, OR"                           ,OR    ,70.0         ,70.0       ,70.0          ,FB
43  ,"Bayfield, WI"                         ,WI    ,427.0        ,427.0      ,427.0         ,FB
44  ,Beaufort                               ,NC    ,11.0         ,11.0       ,11.0          ,onsite eyewitness; photograph
45  ,"Beaumont, TX"                         ,TX    ,300.0        ,300.0      ,300.0         ,FB
46  ,"Beaver, PA"                           ,PA    ,275.0        ,288.0      ,300.0         ,onsite eyewitness w/ headcount
47  ,"Beaver Island, MI"                    ,MI    ,18.0         ,20.0       ,22.0          ,Onsite eyewitness; headcount
48  ,"Bellingham, WA"                       ,WA    ,5000.0       ,5450.0     ,6000.0        ,https://t.co/iyjFHSXHEq
49  ,"Bemidji, MN"                          ,MN    ,250.0        ,363.0      ,500.0         ,http://www.mprnews.org/story/2017/01/21/photos-around-minnesota-women-and-men-march-for-womens-rights
50  ,"Bend, OR"                             ,OR    ,3000.0       ,3900.0     ,5000.0        ,http://www.bendbulletin.com/home/5002977-151/thousands-in-bend-join-international-womens-march
51  ,"Bennington, VT"                       ,VT    ,75.0         ,100.0      ,125.0         ,Eyewitness on site
52  ,"Bentonville, AR"                      ,AR    ,300.0        ,435.0      ,600.0         ,onsite eyewitness; headcount
53  ,"Berkeley, CA"                         ,CA    ,200.0        ,560.0      ,1000.0        ,http://www.dailycal.org/2017/01/21/berkeley-community-joins-millions-around-world-participating-womens-marches/
54  ,"Bethel, AK"                           ,AK    ,40.0         ,70.0       ,100.0         ,https://www.adn.com/slideshow/visual/2017/01/21/thousands-hit-the-streets-for-womens-march-events-in-alaska/
55  ,"Bethlehem, CT"                        ,CT    ,2.0          ,2.0        ,2.0           ,https://twitter.com/Fontaine6Mary/status/823915255327838211
56  ,"Bethlehem, PA"                        ,PA    ,500.0        ,518.0      ,540.0         ,http://www.mcall.com/news/breaking/mc-women--march-20170121-story.html
57  ,"Bettendorf, IA"                       ,IA    ,300.0        ,525.0      ,800.0         ,http://qctimes.com/news/local/hall-overflows-with-women-s-rally-participants/article_03dc35fb-bb39-54b5-bce3-b2c275cafaff.html
58  ,"Beverly Hills, CA"                    ,CA    ,250.0        ,275.0      ,300.0         ,onsite eyewitness; headcount w photos via google form
59  ,"Binghamton, NY"                       ,NY    ,2000.0       ,2450.0     ,3000.0        ,FB
60  ,"Birmingham, AL"                       ,AL    ,5000.0       ,7250.0     ,10000.0       ,http://www.al.com/news/birmingham/index.ssf/2017/01/thousands_parade_through_birmi.html#incart_river_mobileshort_home
61  ,"Bishop, CA"                           ,CA    ,600.0        ,600.0      ,600.0         ,FB
62  ,"Bismarck, ND"                         ,ND    ,500.0        ,500.0      ,500.0         ,http://www.grandforksherald.com/news/4203619-larger-expected-nd-capitol-womens-march-calls-solidarity
63  ,"Black Mountain, NC"                   ,NC    ,250.0        ,318.0      ,400.0         ,onsite eyewitness / photographer
64  ,"Block Island, RI"                     ,RI    ,60.0         ,70.0       ,80.0          ,onsite eyewitness took head count via google form
65  ,"Bloomsburg, PA"                       ,PA    ,40.0         ,50.0       ,60.0          ,https://twitter.com/MzHokie/status/823054470728810496
66  ,"Bluff, UT"                            ,UT    ,48.0         ,48.0       ,48.0          ,onsite eyewitness with headcount via google form
67  ,"Boise, ID"                            ,ID    ,5000.0       ,5000.0     ,5000.0        ,http://www.idahostatesman.com/news/local/article127913309.html
68  ,"Borrego Springs, CA"                  ,CA    ,140.0        ,145.0      ,150.0         ,onsite eyewitness who did headcount
